FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
WOK EXPRESS,"9615 LOST KNIFE ROAD , GAITHERSBURG, MD 20877",4/4/2016,SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $1000.00 + ALERT,6/8/2016
TANDOORI NIGHTS-BETHESDA,"7236 WOODMONT AVENUE , BETHESDA, MD 20814",2/26/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,3/21/2016
BONCHON OF GERMANTOWN,"19775 FREDERICK ROAD , GERMANTOWN, MD 20876",12/21/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/30/2017
PHO VIET STAR,"13825 OUTLET DRIVE , SILVER SPRING, MD 20904",11/20/2015,SALE TO MINOR,"SETTLED; 1,000 + ALERT",2/23/2016
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",11/23/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,1/24/2017
GUAPO'S,"411 NORTH FREDERICK AVE , GAITHERSBURG, MD 20878",5/31/2016,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED; $800.00 + ALERT,7/11/2016
BIG WAN'S CUISINE,"16051 FREDERICK ROAD , ROCKVILLE, MD 20855",3/8/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; $500 FINE,8/23/2016
SARDI'S POLLO A LA BRASA,"430 NORTH FREDERICK ROAD , GAITHERSBURG, MD 20877",6/9/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/29/2016
SHEGER SPRING CAFE,"900 SILVER SPRING AVENUE SUITE B , SILVER SPRING, MD 20910",12/22/2015,SALE TO MINOR,SETTLED; $2500.00 + ALERT,3/2/2016
MILLER'S ALE HOUSE,"1471 ROCKVILLE PIKE , ROCKVILLE, MD 20852",12/22/2015,SALE TO MINOR,SETTLED; $2500.00 + ALERT,2/26/2016
& PIZZA,"11626 OLD GEORGETOWN ROAD , NORTH BETHESDA, MD 20852",6/28/2016,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,8/12/2016
JOSE'S GRILL,"11423 GEORGIA AVE. , WHEATON, MD 20902",12/20/2012,SALE TO MINOR,SETTLED; $1000.00 +ALERT,9/9/2016
29 CONVENIENCE MART,"10755 COLESVILLE ROAD , SILVER SPRING, MD 20901",11/13/2015,SALE TO MINOR,"SETTLED;  $2,500.00
+ ALERT",2/22/2016
KOI ASIAN CUISINE,"12046 CHERRY HILL ROAD , SILVER SPRING, MD 20904",4/26/2016,SALE TO MINOR,"SETTLED; $1,000.00 + ALERT",5/23/2016
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",6/9/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,8/19/2016
